Source,CH1,CH2
Second,Volt,Volt
-0.02000000000,-1.20000,-0.10000
-0.01996000000,-1.20000,-0.08000
-0.01991999844,-1.20000,-0.10000
-0.01987999844,-1.20000,-0.10000
-0.01984000000,-1.20000,-0.10000
-0.01980000000,-1.20000,-0.10000
-0.01976000000,-1.60000,-0.10000
-0.01972000000,-1.20000,-0.10000
-0.01967999844,-1.20000,-0.10000
-0.01963999844,-1.20000,-0.10000
-0.01960000000,-1.60000,-0.10000
-0.01956000000,-1.20000,-0.08000
-0.01952000000,-1.60000,-0.10000
-0.01948000000,-1.20000,-0.10000
-0.01943999844,-1.20000,-0.10000
-0.01939999844,-1.20000,-0.10000
-0.01936000000,-1.20000,-0.10000
-0.01932000000,-1.20000,-0.10000
-0.01928000000,-1.60000,-0.10000
-0.01924000000,-1.60000,-0.10000
-0.01919999844,-1.60000,-0.10000
-0.01915999844,-1.20000,-0.10000
-0.01912000000,-1.60000,-0.08000
-0.01908000000,-1.20000,-0.10000
-0.01904000000,-1.20000,-0.10000
-0.01900000000,-1.20000,-0.10000
-0.01895999844,-1.20000,-0.08000
-0.01891999844,-1.20000,-0.10000
-0.01888000000,-1.20000,-0.10000
-0.01884000000,-1.20000,-0.08000
-0.01880000000,-1.60000,-0.10000
-0.01876000000,-1.20000,-0.08000
-0.01871999844,-1.20000,-0.08000
-0.01867999844,-1.20000,-0.10000
-0.01864000000,-1.20000,-0.10000
-0.01860000000,-1.20000,-0.10000
-0.01856000000,-1.60000,-0.10000
-0.01852000000,-1.60000,-0.10000
-0.01847999844,-1.20000,-0.10000
-0.01843999844,-1.20000,-0.08000
-0.01840000000,-1.20000,-0.10000
-0.01836000000,-1.20000,-0.08000
-0.01832000000,-1.60000,-0.10000
-0.01828000000,-1.60000,-0.10000
-0.01823999844,-1.20000,-0.10000
-0.01819999844,-1.20000,-0.10000
-0.01816000000,-1.20000,-0.10000
-0.01812000000,-1.20000,-0.10000
-0.01808000000,-1.20000,-0.08000
-0.01804000000,-1.20000,-0.10000
-0.01800000000,-1.20000,-0.10000
-0.01795999844,-1.20000,-0.10000
-0.01792000000,-1.20000,-0.08000
-0.01788000000,-1.20000,-0.08000
-0.01784000000,-1.20000,-0.08000
-0.01780000000,-1.20000,-0.08000
-0.01776000000,-1.20000,-0.10000
-0.01771999844,-1.20000,-0.08000
-0.01767999844,-1.20000,-0.10000
-0.01764000000,-1.20000,-0.10000
-0.01760000000,-1.20000,-0.10000
-0.01756000000,-1.60000,-0.10000
-0.01752000000,-1.20000,-0.10000
-0.01747999844,-1.20000,-0.10000
-0.01743999844,-1.20000,-0.10000
-0.01740000000,-1.20000,-0.10000
-0.01736000000,-1.20000,-0.10000
-0.01732000000,-1.20000,-0.10000
-0.01728000000,-1.20000,-0.10000
-0.01723999844,-1.20000,-0.10000
-0.01719999844,-1.20000,-0.10000
-0.01716000000,-1.20000,-0.10000
-0.01712000000,-1.60000,-0.10000
-0.01708000000,-1.20000,-0.08000
-0.01704000000,-1.20000,-0.10000
-0.01699999844,-1.20000,-0.10000
-0.01695999844,-1.20000,-0.10000
-0.01692000000,-1.20000,-0.10000
-0.01688000000,-1.20000,-0.08000
-0.01684000000,-1.20000,-0.10000
-0.01680000000,-1.20000,-0.10000
-0.01675999844,-1.20000,-0.10000
-0.01671999844,-1.60000,-0.10000
-0.01668000000,-1.20000,-0.10000
-0.01664000000,-1.20000,-0.10000
-0.01660000000,-1.60000,-0.10000
-0.01656000000,-1.60000,-0.10000
-0.01651999844,-1.60000,-0.10000
-0.01647999844,-1.20000,-0.08000
-0.01644000000,-1.60000,-0.10000
-0.01640000000,-1.20000,-0.10000
-0.01636000000,-1.20000,-0.10000
-0.01632000000,-1.20000,-0.10000
-0.01627999844,-1.60000,-0.08000
-0.01623999844,-1.20000,-0.10000
-0.01620000000,-1.20000,-0.10000
-0.01616000000,-1.20000,-0.10000
-0.01612000000,-1.20000,-0.10000
-0.01608000000,-1.20000,-0.10000
-0.01603999844,-1.20000,-0.08000
-0.01599999844,-1.20000,-0.08000
-0.01596000000,-1.20000,-0.10000
-0.01592000000,-1.20000,-0.10000
-0.01588000000,-1.20000,-0.10000
-0.01584000000,-1.20000,-0.10000
-0.01580000000,-1.20000,-0.10000
-0.01575999844,-1.20000,-0.10000
-0.01572000000,-1.20000,-0.10000
-0.01568000000,-1.60000,-0.10000
-0.01564000000,-1.20000,-0.10000
-0.01560000000,-1.60000,-0.10000
-0.01555999875,-1.60000,-0.10000
-0.01552000000,-1.20000,-0.10000
-0.01548000000,-1.60000,-0.10000
-0.01543999875,-1.20000,-0.10000
-0.01540000000,-1.20000,-0.10000
-0.01536000000,-1.20000,-0.10000
-0.01531999875,-1.20000,-0.08000
-0.01528000000,-1.20000,-0.08000
-0.01524000000,-1.20000,-0.10000
-0.01519999875,-1.20000,-0.10000
-0.01516000000,-1.20000,-0.10000
-0.01512000000,-1.20000,-0.10000
-0.01507999875,-1.20000,-0.10000
-0.01504000000,-1.20000,-0.10000
-0.01500000000,-1.20000,-0.10000
-0.01495999875,-1.20000,-0.10000
-0.01492000000,-1.20000,-0.10000
-0.01488000000,-1.20000,-0.10000
-0.01484000000,-1.20000,-0.10000
-0.01480000000,-1.20000,-0.10000
-0.01476000000,-1.60000,-0.12000
-0.01472000000,-1.20000,-0.10000
-0.01468000000,-1.20000,-0.10000
-0.01464000000,-1.60000,-0.10000
-0.01460000000,-1.20000,-0.10000
-0.01456000000,-1.20000,-0.10000
-0.01452000000,-1.20000,-0.08000
-0.01448000000,-1.20000,-0.10000
-0.01444000000,-1.20000,-0.10000
-0.01440000000,-1.20000,-0.08000
-0.01436000000,-1.20000,-0.10000
-0.01432000000,-1.20000,-0.10000
-0.01428000000,-1.20000,-0.10000
-0.01424000000,-1.20000,-0.10000
-0.01420000000,-1.20000,-0.10000
-0.01416000000,-1.20000,-0.10000
-0.01412000000,-1.20000,-0.10000
-0.01408000000,-1.20000,-0.10000
-0.01404000000,-1.20000,-0.10000
-0.01400000000,-1.20000,-0.10000
-0.01395999875,-1.20000,-0.10000
-0.01392000000,-1.20000,-0.10000
-0.01388000000,-1.60000,-0.10000
-0.01383999875,-1.20000,-0.10000
-0.01380000000,-1.60000,-0.10000
-0.01376000000,-1.20000,-0.10000
-0.01371999875,-1.20000,-0.10000
-0.01368000000,-1.20000,-0.10000
-0.01364000000,-1.20000,-0.10000
-0.01359999875,-1.20000,-0.10000
-0.01356000000,-1.60000,-0.10000
-0.01352000000,-1.20000,-0.10000
-0.01347999875,-1.60000,-0.10000
-0.01344000000,-1.20000,-0.10000
-0.01340000000,-1.20000,-0.10000
-0.01335999875,-1.20000,-0.10000
-0.01332000000,-1.20000,-0.10000
-0.01328000000,-1.60000,-0.08000
-0.01323999875,-1.20000,-0.10000
-0.01320000000,-1.20000,-0.10000
