Source,CH1,CH2
Second,Volt,Volt
-0.00679999938,0.40000,0.02000
-0.00676000000,0.40000,0.02000
-0.00672000000,0.40000,-0.04000
-0.00667999938,0.80000,0.04000
-0.00664000000,1.20000,0.06000
-0.00660000000,0.80000,0.04000
-0.00655999938,0.80000,0.02000
-0.00652000000,0.80000,0.06000
-0.00648000000,0.40000,0.00
-0.00643999938,-0.40000,0.04000
-0.00640000000,0.80000,0.04000
-0.00636000000,0.80000,0.08000
-0.00632000000,0.40000,0.02000
-0.00628000000,0.40000,0.08000
-0.00624000000,0.00,0.04000
-0.00620000000,0.80000,0.02000
-0.00616000000,1.60000,0.02000
-0.00612000000,0.40000,0.04000
-0.00608000000,0.80000,0.00
-0.00604000000,0.80000,0.06000
-0.00600000000,1.60000,0.02000
-0.00596000000,0.80000,0.06000
-0.00592000000,0.80000,0.02000
-0.00588000000,0.40000,0.06000
-0.00584000000,0.80000,0.00
-0.00580000000,0.40000,0.04000
-0.00576000000,0.40000,0.04000
-0.00572000000,0.80000,0.06000
-0.00568000000,0.40000,0.04000
-0.00563999938,0.40000,0.12000
-0.00560000000,1.20000,0.04000
-0.00556000000,0.80000,0.06000
-0.00551999938,1.20000,0.04000
-0.00548000000,0.40000,0.06000
-0.00544000000,0.80000,0.04000
-0.00539999938,0.40000,0.08000
-0.00536000000,0.80000,0.02000
-0.00532000000,0.80000,0.04000
-0.00528000000,0.80000,0.04000
-0.00524000000,0.40000,0.06000
-0.00520000000,0.80000,0.04000
-0.00515999969,0.80000,0.06000
-0.00512000000,0.40000,0.04000
-0.00508000000,0.40000,0.06000
-0.00503999969,1.20000,0.00
-0.00500000000,0.80000,0.04000
-0.00496000000,0.80000,0.04000
-0.00491999969,0.80000,0.04000
-0.00488000000,0.40000,0.00
-0.00484000000,0.40000,0.00
-0.00479999969,0.80000,0.04000
-0.00476000000,0.80000,0.08000
-0.00472000000,0.80000,0.00
-0.00467999969,0.80000,0.06000
-0.00464000000,0.40000,0.04000
-0.00460000000,0.80000,0.06000
-0.00455999969,0.40000,0.00
-0.00452000000,0.80000,0.06000
-0.00448000000,0.40000,0.00
-0.00443999969,0.40000,0.02000
-0.00440000000,1.20000,0.04000
-0.00435999969,0.80000,0.10000
-0.00431999969,0.80000,0.04000
-0.00428000000,0.40000,0.04000
-0.00423999969,0.40000,0.00
-0.00420000000,0.40000,0.04000
-0.00416000000,1.20000,0.06000
-0.00411999969,0.80000,0.02000
-0.00408000000,0.80000,0.04000
-0.00404000000,0.40000,0.04000
-0.00399999969,0.80000,-0.02000
-0.00396000000,0.40000,0.06000
-0.00392000000,0.80000,0.02000
-0.00388000000,0.80000,0.00
-0.00384000000,0.40000,0.02000
-0.00379999969,0.40000,0.04000
-0.00376000000,0.80000,0.04000
-0.00372000000,0.40000,0.08000
-0.00368000000,1.20000,0.02000
-0.00364000000,0.80000,0.06000
-0.00360000000,0.40000,0.02000
-0.00356000000,0.40000,0.06000
-0.00352000000,0.80000,0.04000
-0.00348000000,0.40000,0.06000
-0.00344000000,0.80000,0.00
-0.00339999969,0.40000,0.06000
-0.00336000000,0.80000,0.02000
-0.00332000000,0.40000,0.08000
-0.00327999969,1.20000,0.04000
-0.00324000000,0.00,0.04000
-0.00320000000,0.80000,0.04000
-0.00316000000,0.80000,0.06000
-0.00312000000,0.40000,0.04000
-0.00308000000,0.40000,0.04000
-0.00304000000,0.80000,0.00
-0.00300000000,0.40000,0.02000
-0.00296000000,1.20000,0.04000
-0.00292000000,0.40000,0.00
-0.00288000000,0.80000,0.02000
-0.00284000000,0.80000,0.06000
-0.00280000000,0.40000,0.04000
-0.00275999969,0.80000,0.06000
-0.00272000000,0.40000,0.04000
-0.00268000000,0.80000,0.08000
-0.00264000000,0.80000,0.04000
-0.00260000000,0.40000,0.06000
-0.00256000000,0.00,0.06000
-0.00251999984,0.40000,0.06000
-0.00248000000,0.40000,0.04000
-0.00244000000,0.40000,0.00
-0.00239999984,0.40000,0.02000
-0.00236000000,0.40000,0.02000
-0.00232000000,0.40000,0.04000
-0.00227999984,0.40000,0.04000
-0.00224000000,0.40000,0.00
-0.00220000000,0.40000,0.04000
-0.00215999984,1.60000,0.02000
-0.00211999984,-0.40000,0.04000
-0.00208000000,1.20000,0.00
-0.00204000000,-0.40000,0.04000
-0.00199999984,0.40000,0.02000
-0.00196000000,0.40000,0.06000
-0.00192000000,0.40000,0.04000
-0.00188000000,0.40000,0.08000
-0.00183999988,0.80000,0.02000
-0.00180000000,0.80000,0.06000
-0.00176000000,1.20000,0.04000
-0.00172000000,0.40000,0.06000
-0.00168000000,0.80000,-0.02000
-0.00163999988,0.80000,0.04000
-0.00160000000,0.80000,0.02000
-0.00156000000,0.80000,0.06000
-0.00151999988,1.60000,0.04000
-0.00148000000,0.80000,0.02000
-0.00144000000,0.00,0.02000
-0.00140000000,0.40000,0.04000
-0.00136000000,0.80000,0.02000
-0.00131999988,0.80000,0.04000
-0.00128000000,0.80000,0.04000
-0.00124000000,0.40000,0.04000
-0.00120000000,0.80000,0.04000
-0.00116000000,0.80000,0.06000
-0.00112000000,0.00,0.00
-0.00108000000,0.80000,0.00
-0.00104000000,0.80000,0.04000
-0.00099999994,0.80000,0.06000
-0.00096000000,0.40000,0.04000
-0.00091999994,1.20000,0.06000
-0.00088000000,0.80000,0.06000
-0.00084000000,0.40000,0.06000
-0.00080000000,0.40000,0.02000
-0.00075999994,0.80000,0.06000
-0.00072000000,0.80000,0.00
-0.00068000000,0.40000,0.08000
-0.00064000000,0.00,0.00
-0.00060000000,0.40000,0.06000
-0.00056000000,0.80000,0.06000
-0.00052000000,0.40000,0.04000
-0.00048000000,0.80000,0.02000
-0.00044000000,0.40000,0.08000
-0.00040000000,0.40000,0.04000
-0.00036000000,0.80000,0.06000
-0.00032000000,0.40000,0.02000
-0.00028000000,0.80000,0.04000
-0.00024000000,0.40000,0.04000
-0.00020000000,0.00,0.04000
-0.00016000000,0.40000,0.02000
-0.00012000000,0.80000,0.04000
-0.00008000000,0.80000,0.02000
-0.00004000000,0.40000,0.00
 0.00000000000,2.80000,2.28000
 0.00004000000,3.60000,2.28000
 0.00008000000,3.20000,2.28000
 0.00012000000,2.80000,2.30000
 0.00016000000,3.60000,2.32000
 0.00020000000,3.20000,2.26000
 0.00024000000,2.40000,2.24000
 0.00028000000,3.20000,2.30000
 0.00032000000,2.80000,2.24000
 0.00036000000,2.40000,2.28000
 0.00040000000,3.20000,2.28000
 0.00044000000,3.20000,2.26000
 0.00048000000,3.20000,2.22000
 0.00052000000,3.60000,2.24000
 0.00056000000,4.00000,2.24000
 0.00060000000,3.60000,2.26000
 0.00064000000,4.00000,2.26000
 0.00068000000,3.20000,2.24000
 0.00072000000,4.00000,2.26000
 0.00075999994,3.60000,2.28000
 0.00080000000,4.80000,2.24000
 0.00084000000,3.60000,2.24000
 0.00088000000,4.00000,2.24000
