Source,CH1,CH2
Second,Volt,Volt
-0.00440000000,0.40000,0.00
-0.00437999969,0.00,0.08000
-0.00435999969,0.20000,0.04000
-0.00434000000,0.00,0.04000
-0.00431999969,0.40000,0.06000
-0.00429999969,0.00,0.08000
-0.00428000000,0.00,0.02000
-0.00425999969,0.00,0.06000
-0.00423999969,0.40000,0.04000
-0.00422000000,0.00,0.08000
-0.00420000000,0.00,-0.02000
-0.00417999969,-0.20000,0.06000
-0.00416000000,0.20000,0.06000
-0.00414000000,0.20000,0.04000
-0.00411999969,0.40000,0.06000
-0.00410000000,0.00,0.08000
-0.00408000000,0.40000,0.02000
-0.00405999969,0.00,0.04000
-0.00404000000,0.40000,0.06000
-0.00402000000,0.00,0.04000
-0.00399999969,0.00,0.06000
-0.00398000000,0.00,0.04000
-0.00396000000,0.20000,0.06000
-0.00393999969,0.20000,0.08000
-0.00392000000,0.20000,0.06000
-0.00390000000,0.00,0.04000
-0.00388000000,0.40000,0.04000
-0.00385999969,0.00,0.02000
-0.00384000000,0.00,0.08000
-0.00382000000,0.00,0.04000
-0.00379999969,0.40000,0.04000
-0.00378000000,0.00,0.06000
-0.00376000000,0.00,0.04000
-0.00373999969,0.00,0.04000
-0.00372000000,0.40000,0.08000
-0.00370000000,0.20000,0.06000
-0.00368000000,0.40000,0.00
-0.00366000000,0.00,0.06000
-0.00364000000,0.00,0.02000
-0.00362000000,0.00,0.06000
-0.00360000000,0.00,0.00
-0.00358000000,0.00,0.04000
-0.00356000000,0.40000,0.06000
-0.00354000000,0.00,0.02000
-0.00352000000,0.20000,0.04000
-0.00350000000,0.00,0.06000
-0.00348000000,0.20000,0.00
-0.00345999969,0.00,0.08000
-0.00344000000,0.00,0.02000
-0.00342000000,0.00,0.08000
-0.00339999969,0.20000,0.06000
-0.00338000000,0.00,0.06000
-0.00336000000,0.00,0.02000
-0.00333999969,0.00,0.06000
-0.00332000000,0.00,0.04000
-0.00330000000,-0.20000,0.08000
-0.00327999969,0.40000,0.04000
-0.00326000000,0.00,0.08000
-0.00324000000,0.20000,0.02000
-0.00321999969,0.00,0.02000
-0.00320000000,0.20000,0.00
-0.00318000000,0.00,0.06000
-0.00316000000,0.20000,0.02000
-0.00314000000,0.00,0.08000
-0.00312000000,0.20000,0.06000
-0.00310000000,0.00,0.04000
-0.00308000000,0.00,0.08000
-0.00306000000,0.20000,0.02000
-0.00304000000,0.20000,0.02000
-0.00302000000,0.00,0.08000
-0.00300000000,0.40000,0.04000
-0.00298000000,0.00,0.06000
-0.00296000000,0.40000,0.04000
-0.00294000000,-0.20000,0.02000
-0.00292000000,0.40000,0.04000
-0.00290000000,0.00,0.08000
-0.00288000000,0.20000,0.02000
-0.00286000000,0.00,0.08000
-0.00284000000,0.20000,0.02000
-0.00281999969,0.00,0.06000
-0.00280000000,0.20000,0.02000
-0.00278000000,0.00,0.08000
-0.00275999969,0.00,0.06000
-0.00274000000,0.20000,0.04000
-0.00272000000,0.00,0.00
-0.00269999969,0.00,0.08000
-0.00268000000,0.20000,0.06000
-0.00266000000,0.00,0.08000
-0.00264000000,0.20000,0.00
-0.00262000000,0.20000,0.02000
-0.00260000000,0.40000,0.04000
-0.00257999984,0.40000,0.00
-0.00256000000,0.20000,0.02000
-0.00254000000,0.00,0.04000
-0.00251999984,0.20000,0.06000
-0.00250000000,0.00,0.02000
-0.00248000000,0.40000,0.02000
-0.00245999984,0.00,0.08000
-0.00244000000,0.40000,0.04000
-0.00242000000,0.00,0.08000
-0.00239999984,0.40000,0.06000
-0.00238000000,0.20000,0.08000
-0.00236000000,0.20000,0.04000
-0.00233999984,0.00,0.06000
-0.00232000000,0.00,0.02000
-0.00230000000,0.00,0.06000
-0.00227999984,0.00,0.06000
-0.00226000000,0.00,0.08000
-0.00224000000,0.40000,0.04000
-0.00221999984,0.00,0.08000
-0.00220000000,0.40000,0.06000
-0.00217999984,0.00,0.02000
-0.00215999984,0.40000,0.06000
-0.00214000000,-0.20000,0.08000
-0.00211999984,0.40000,0.06000
-0.00210000000,0.00,0.08000
-0.00208000000,0.40000,0.10000
-0.00205999984,0.00,0.02000
-0.00204000000,0.40000,0.04000
-0.00202000000,0.20000,0.06000
-0.00199999984,0.20000,0.02000
-0.00198000000,0.00,0.08000
-0.00196000000,0.20000,0.04000
-0.00194000000,0.00,0.08000
-0.00192000000,0.40000,0.02000
-0.00189999988,0.20000,0.08000
-0.00188000000,0.40000,0.02000
-0.00186000000,0.00,0.04000
-0.00183999988,0.40000,0.08000
-0.00182000000,0.00,0.06000
-0.00180000000,0.40000,0.06000
-0.00177999988,0.00,0.08000
-0.00176000000,0.40000,0.02000
-0.00174000000,0.00,0.10000
-0.00172000000,0.20000,0.06000
-0.00169999988,0.00,0.08000
-0.00168000000,0.40000,0.04000
-0.00166000000,0.00,0.06000
-0.00163999988,0.20000,0.02000
-0.00162000000,0.00,0.06000
-0.00160000000,0.40000,0.08000
-0.00157999988,0.00,0.02000
-0.00156000000,0.00,0.02000
-0.00154000000,0.00,0.08000
-0.00151999988,0.20000,0.02000
-0.00150000000,0.20000,0.08000
-0.00148000000,0.20000,0.00
-0.00146000000,-0.20000,0.04000
-0.00144000000,0.40000,0.04000
-0.00142000000,0.00,0.08000
-0.00140000000,0.40000,0.08000
-0.00137999988,0.00,0.02000
-0.00136000000,0.40000,0.02000
-0.00134000000,0.20000,0.08000
-0.00131999988,0.40000,0.02000
-0.00130000000,0.00,0.06000
-0.00128000000,0.00,0.04000
-0.00125999988,0.00,0.10000
-0.00124000000,0.20000,0.04000
-0.00122000000,0.00,0.06000
-0.00120000000,0.40000,0.04000
-0.00118000000,0.00,0.08000
-0.00116000000,0.40000,0.08000
-0.00114000000,0.00,0.08000
-0.00112000000,0.20000,0.06000
-0.00110000000,0.00,0.04000
-0.00108000000,0.40000,0.06000
-0.00105999988,0.20000,0.08000
-0.00104000000,0.20000,0.06000
-0.00101999994,0.00,0.06000
-0.00099999994,0.20000,0.06000
-0.00098000000,0.00,0.04000
-0.00096000000,0.40000,0.02000
-0.00094000000,0.00,0.10000
-0.00091999994,0.20000,0.06000
-0.00090000000,0.00,0.02000
-0.00088000000,0.40000,0.04000
-0.00086000000,0.00,0.08000
-0.00084000000,0.40000,0.02000
-0.00081999994,0.00,0.00
-0.00080000000,0.20000,0.04000
-0.00078000000,0.00,0.10000
-0.00075999994,0.40000,0.06000
-0.00074000000,0.00,0.08000
-0.00072000000,0.00,0.04000
-0.00070000000,0.00,0.08000
-0.00068000000,0.40000,0.06000
-0.00065999994,0.00,0.06000
-0.00064000000,0.20000,0.06000
-0.00062000000,0.00,0.08000
-0.00060000000,0.40000,0.02000
-0.00058000000,0.00,0.08000
-0.00056000000,0.40000,0.06000
-0.00054000000,0.20000,0.04000
-0.00052000000,0.40000,0.08000
-0.00049999997,0.00,0.04000
-0.00048000000,0.20000,0.06000
-0.00045999997,0.20000,0.10000
-0.00044000000,0.20000,0.04000
-0.00042000000,0.20000,0.10000
-0.00040000000,0.40000,0.06000
-0.00037999997,0.20000,0.08000
-0.00036000000,0.40000,0.06000
-0.00034000000,0.00,0.08000
-0.00032000000,0.40000,0.06000
-0.00030000000,0.00,0.12000
-0.00028000000,0.20000,0.08000
-0.00026000000,0.00,0.08000
-0.00024000000,0.00,0.10000
-0.00022000000,0.20000,0.08000
-0.00020000000,0.00,0.08000
-0.00018000000,0.20000,0.16000
-0.00016000000,0.40000,0.28000
-0.00014000000,0.40000,0.46000
-0.00012000000,0.60000,0.52000
-0.00010000000,0.80000,0.60000
-0.00008000000,0.80000,0.54000
-0.00006000000,0.60000,0.56000
-0.00004000000,0.60000,0.48000
-0.00002000000,0.80000,0.52000
 0.00000000000,0.80000,0.66000
 0.00002000000,2.20000,2.14000
 0.00004000000,2.40000,2.10000
 0.00006000000,2.40000,2.12000
 0.00008000000,2.20000,2.16000
 0.00010000000,2.20000,2.12000
 0.00012000000,2.40000,2.12000
 0.00014000000,2.40000,2.12000
 0.00016000000,2.40000,2.08000
 0.00018000000,2.20000,2.12000
 0.00020000000,2.40000,2.14000
 0.00022000000,2.40000,2.12000
 0.00024000000,2.60000,2.10000
 0.00026000000,2.60000,2.12000
 0.00028000000,2.40000,2.12000
 0.00030000000,2.40000,2.14000
 0.00032000000,2.60000,2.14000
 0.00034000000,2.40000,2.12000
 0.00036000000,2.80000,2.10000
 0.00037999997,2.40000,2.14000
 0.00040000000,2.80000,2.10000
 0.00042000000,2.40000,2.14000
 0.00044000000,2.80000,2.08000
 0.00045999997,2.80000,2.10000
 0.00048000000,2.80000,2.10000
 0.00049999997,2.60000,2.10000
 0.00052000000,2.80000,2.10000
 0.00054000000,2.80000,2.12000
 0.00056000000,2.80000,2.12000
 0.00058000000,2.40000,2.08000
 0.00060000000,2.80000,2.10000
 0.00062000000,2.60000,2.12000
 0.00064000000,2.80000,2.10000
 0.00065999994,2.80000,2.12000
 0.00068000000,2.80000,2.12000
 0.00070000000,3.00000,2.12000
 0.00072000000,3.00000,2.08000
 0.00074000000,3.00000,2.10000
 0.00075999994,2.80000,2.10000
 0.00078000000,3.00000,2.12000
